propertyId,streetAddress,city,stateCode,postalCode,countryCode,description,propertyName,propertyDescription,marketingName,floorplanName,neighborhood,neighborhoodDescription,latitude,longitude,belongedCity,currencyCode
ENTUS-100008670,1108 Nueces St,Austin,TX,78701,USA,"Welcome to your new home in Downtown Austin. Offering private bedrooms in shared coliving spaces, Common Capitol is the perfect rental to find both privacy and community. Alongside shared areas in your coliving apartment, you will also find a handful of amazing amenities to enjoy onsite. Take a break from work in the rooftop community terrace lounge, or enjoy some time in the community longe, where you can meet other members or hangout with your closest friends. Common Capitol also featured bike racks and a community laundry room to make everyday chores easier!",AUS.Capitol,,Capitol,,Downtown Austin,"Common Capitol is located in Downtown Austin, the vibrant heart of the city known for its skyline of modern high-rise buildings. A dynamic blend of history, culture, and urban energy that captures the essence of the city, Downtown Austin offers a handful of entertainment options, cultural attractions and outdoor activities. And living at Common Capitol means having close access to all the action in Downtown Austin, from Sixth Street to the Blanton Museum of Art and the beautiful Lady Bird Lake.",30.27504,-97.7467,Austin,USD
ENTUS-1161044,201 20th St N,Birmingham,AL,35203,USA,"At Common at The Frank, your apartment doesn’t end at your front door — you’ll enjoy luxury amenity spaces designed for comfort, convenience, and community. On the first floor, you’ll find a furnished atrium with a glass ceiling and access to the building’s restaurants and bar. Enjoy your morning coffee in the lounge area, or head downstairs for your happiest hour yet. Hop on the elevator to the rooftop clubroom, where you’ll find a full kitchen, dining room area, office space, and both indoor and outdoor lounge areas — the perfect spot to host a game night with friends, meet other Common members, and soak in Birmingham's skyline. Even your furry friend has a chance to build community at the turfed dog run and dog washing station! Another bonus? You’ll save money (and time!) on an expensive gym membership when you take advantage of the rooftop fitness center.
",BIR.Frank,,Frank,,Central City,"Central City is a lively neighborhood, packed with restaurants, coffee shops, cocktail bars, entertainment, and everyday conveniences. Right downstairs, you’ll find Trattoria Zaza, a locally loved Italian restaurant serving up fresh pasta and pizza with an equally delicious selection of beer, wine, and canned cocktails. For your morning coffee, head down the block to Frothy Monkey, a hip cafe that makes mornings that much sweeter with fresh pastries and breakfast. Common at the Frank is also only a few blocks from iconic cultural institutions including the Alabama Jazz Hall of Fame, the Lyric Theatre, and the Alabama Theatre, and a 10 minute walk to the University of Alabama at Birmingham.",33.51562,-86.8062,Birmingham,USD
ENTUS-100006383,23 S Gay St,Baltimore,MD,21202,USA,"Welcome to your new home in Downtown Baltimore. Blending urban convenience and affordability, Guardian House embodies the true essence of community living. In addition to your very own comfortable apartment with in-unit laundry, you will find several amenities such storage lockers and a residential lobby. ",BLT.GuardianHouse,,GuardianHouse,,Downtown Baltimore,"Guardian House is located in Downtown, Baltimore, the central business district and cultural hub of the city. Known for its historic architecture, diverse dining options, and vibrant arts and entertainment scene, Downtown is home to the iconic Inner Harbor, a waterfront area that features several attractions like the National Aquarium and Harborplace shopping complex. Take a stroll through Lexington Market, enjoy the city's vibrant nightlife scene at Power Plant Live!, and make the most of the diverse culinary scene: Downtown is your oyster! ",39.28903,-76.6084,Baltimore,USD
ENTUS-1275118,2401 S State St,Chicago,IL,60616,USA,"At Common McCormick, your apartment doesn’t end at your front door. Work remotely or gather up a gang for game night in the shared lounge, which features a comfortable sectional, cozy cafe tables, and floor to ceiling windows. In warmer weather, soak up the sun on the rooftop deck, perfect for a moment of peace with your morning coffee or getting the party started before a night out with friends. And don’t even think about running lakeside during a cold Chicago winter; the fitness center has you covered.",CHI.McCormick (new),,McCormick,,South Loop,"Common McCormick is located in the historic Motor Row District of the South Loop, bordering Chinatown and Lake Michigan. Easily explore the rest of Chicago with access to the Green line, or stay close to home in this cozy, walkable neighborhood. When you make your home at Common McCormick, you’re only minutes away from breweries, the Lakefront Trail, and some of the best Chinese food in the city.",41.84906,-87.6264,Chicago,USD
ENTUS-1274353,2434 S. State Street,Chicago,IL,60616,USA,"At Common Prairie, your apartment doesn’t end at your front door. Gather your neighbors and friends for a game night in the shared lounge, which features a comfortable sectional, cozy cafe tables perfect for working from home, and floor to ceiling windows. In warmer weather, soak up the sun on the rooftop deck, perfect for a moment of peace with your morning coffee or catching the sunset. With added conveniences like in-unit laundry, keyless entry, onsite parking and bike storage you’ll quickly and comfortably settle into your new home.",CHI.Prairie,,Prairie,,South Loop,"Common Prairie is located in the historic Motor Row District of the South Loop, bordering Chinatown and Lake Michigan. Easily explore the rest of Chicago with access to the Green line, or stay close to home in this cozy, walkable neighborhood. When you make your home at Common Prarie, you’re only minutes away from breweries, the Lakefront Trail, and some of the best Chinese food in the city.
",41.8485,-87.6265,Chicago,USD
ENTUS-1224749,808 N Cleveland Ave,Chicago,IL,60610,USA,"Welcome home to The 808 Cleveland Managed by Common. A brand new luxury building on Chicago Avenue at Kingsbury, this stunning luxury high-rise offers a wide range of beautiful units alongside thoughtfully designed amenities. Whether you’re renting a studio, a coliving suite, or a 1, 2 or 3-bedroom apartment, you’ll find floor to ceiling windows with gorgeous views, brand new appliances, and the little things that make apartment living that much easier, like in-unit laundry and closets with built-in storage.

Outside your door, you’ll have access to amenities ranging from a coworking space to a dog run. Break a sweat in the fitness center, or engage in friendly competition in the game room. On WFH days, the media lounge and business center offer plenty of quiet space to focus, and rentable rooms for meetings or work. But, the star of the show might just be The 808 Cleveland Managed by Common’s outdoor pool and spa. Float on with views of the surrounding city, and end the day on a high-note in the hot tub.",CHI.the808,,the808,,River North,"You probably won’t be surprised to learn that River North is located north of the Chicago River, but if you aren’t familiar with all this lively neighborhood has to offer, you’re in for a treat. Once home to factories and warehouses, this always evolving area is now the place for art and design, delicious restaurants, the latest in entertainment, and everything else that makes city living so exciting. Spend a day gallery hopping, gazing up at historic architecture, or meandering on the RiverWalk — by foot or by boat! After grabbing dinner at one of the area’s many noteworthy restaurants,  you’ll have the best of the city’s nightlife at your fingertips, from cozy dive bars to swanky cocktail lounges and dance clubs. And when it’s time to wind down, you’ll find every convenience only minutes away.",41.89681,-87.6411,Chicago,USD
ENTUS-100012909,201 Foster Ave,Charlotte,NC,28203,USA,"Welcome to Foster Flats by Common, your new home in the lively South End neighborhood. Built to offer both privacy and community to today’s renter, your new home makes Charlotte living easier and more fun. Whether you’re renting a private room or moving into your very own apartment, you’ll find everything you need, from modern areas to essential household items. Making Foster Flats by Common your home also means having access to amazing amenities just outside your door. Meet and connect with other Common members in the community lounge, grab some popcorn and head to the movie room for a cinema night, or hit the coworking space for a moment of focus and productivity. To make everyday life a breeze, you will also have access to package rooms and on-site parking.",CLT.Foster Flats,,Foster Flats,,South End,"South End is home to some of the city's best restaurants, boutiques and nightlife, making it an attractive area for young professionals and creative industries alike. Start your morning with a chill walk around the city or a run along the Rail Trail, grab a latte from one of the many trendy coffee shops in the neighborhood, and visit the South End Farmers Market on Saturdays. Whatever you're looking for, South End has you covered - from craft breweries and mouthwatering cuisine to art galleries and colored murals by local artists.
",35.19907,-80.8717,Charlotte,USD
ENTUS-100017982,70 Richmond Ave,Houston,TX,77006,USA,"Welcome to UNITi Montrose, your new home in the eclectic Montrose neighborhood. Offering a wide range of beautiful, fully-furnished units alongside convenient amenities, UNITi Montrose isn’t just a place to live; it’s a vibrant lifestyle. Here, you’ll discover the perfect blend of privacy and community, and beautifully designed spaces for a comfortable and dynamic lifestyle. Whether you’re renting a private room in a shared coliving suite, microunit, or your own private apartment, you'll find comfortable and fully-furnished interiors, and enjoy the little things that make everyday life that much easier, like utilities included. Outside your door, you’ll have access to incredible amenities that make Montrose living more fun and convenient. Break a sweat in the fitness center or take a minute to slow down in the yoga room. If you’re working from home, the co-working space and meeting rooms are the perfect areas to focus and get productive. If you’re in the mood to explore something a little bit different, get creative in the podcast room or craft room, invite your friends for a barbecue in the rooftop, or host a movie night with your suitemates in the TV lounge. To relax after a long day, grab a good book and head down to the library, enjoy a refreshing swim in the pool deck, or lay back in the sky lounge. UNITi Montrose also offers everyday conveniences to make life a breeze, including on-site parking, bike parking, and a dog wash. ",HOU.UNITiMontrose,,UNITiMontrose,,Montrose,"Montrose is a vibrant neighborhood known for its eclectic mix of cafes, boutiques, and historic sites. The neighborhood's unique cultural scene includes art galleries, music venues, and a variety of dining options, celebrating its inclusive community spirit and diversity. Whether you're browsing for unique treasures, taking a stroll along Westheimer Road, or soaking up the dynamic atmosphere, Montrose has something for everyone to enjoy.",29.73428,-95.388,Houston,USD
ENTUS-1138086,132 Yale Ave,Jersey City,NJ,07304,USA,"As Jersey City’s first coliving home, Common at The Agnes offers renters access to a thoughtfully designed building, a convenient neighborhood, and the best of city living for 20% less than a nearby studio. Our thoughtfully designed coliving suites are made to be shared, with ample cabinet and counter space for you and your roommates, and comfortable furniture from brands like Floyd, Hem, and Article. ",JC.Agnes,,Agnes,,West Side,"When you make your home at Common at The Agnes, you’re in the heart of Jersey City’s West Side. This neighborhood is well loved for its small town charm — think local businesses, quaint architecture, and a friendly community — and its easy access to everything that makes city living great. Lincoln Park, which spans 273 acres and offers everything from fishing ponds to bike trails and public art, is only a 4 minute drive away. For dining out, the area’s local restaurants serve up delicious food from around the world, from Filipino silog to Italian subs and pizza. You’re also down the street from convenient shopping, including Big Lots, Homegoods and Marshalls, Staples, and Asian Food Markets.",40.71795,-74.0928,Jersey City,USD
ENTUS-1191575,244 St. Paul's Avenue,Jersey City,NJ,07306,USA,"Get more for your rent at Common at Le Leo — more connections, more experiences, and more value. Our thoughtfully designed coliving suites offer opportunities for both privacy and community. Try out a new recipe with roommates in a brand new kitchen, complete with household essentials, or kick back for a movie night in the cozy living room. Outside your door, you’ll find a host of amenities: a coworking space, an outdoor lounge, and even a coffee shop.",JC.LeLeo,,LeLeo,,Journal Square,"Just across the river from NYC, Jersey City’s Journal Square offers renters access to the area’s historic and evolving culture — from expansive parks to delicious restaurants and endless opportunities for entertainment. And as a resident of Common at Le Leo, the best of the neighborhood is right outside your door. You’re just down the block from everyday conveniences, like Stop & Shop and Blink Fitness, and local favorites like Mana Contemporary and 15 Fox Place, a BYOB Italian restaurant inside a private home.",40.737548276938305,-74.06219918607248,Jersey City,USD
