id,name,months,amount,concessionsApplied
9079,12 Months,12,124379,['1 Month off 12 Months']
9079,11 Months,11,141375,[]
9079,10 Months,10,141375,[]
9079,9 Months,9,141375,[]
9079,8 Months,8,141375,[]
9079,7 Months,7,141375,[]
9079,6 Months,6,130754,['2 Weeks off 6 Months']
9079,5 Months,5,147750,[]
9079,4 Months,4,147750,[]
9079,3 Months,3,147750,[]
9110,12 Months,12,124379,['1 Month off 12 Months']
9110,11 Months,11,141375,[]
9110,10 Months,10,141375,[]
9110,9 Months,9,141375,[]
9110,8 Months,8,141375,[]
9110,7 Months,7,141375,[]
9110,6 Months,6,130754,['2 Weeks off 6 Months']
9110,5 Months,5,147750,[]
9110,4 Months,4,147750,[]
9110,3 Months,3,147750,[]
9083,12 Months,12,124379,['1 Month off 12 Months']
9083,11 Months,11,141375,[]
9083,10 Months,10,141375,[]
9083,9 Months,9,141375,[]
9083,8 Months,8,141375,[]
9083,7 Months,7,141375,[]
9083,6 Months,6,130754,['2 Weeks off 6 Months']
9083,5 Months,5,147750,[]
9083,4 Months,4,147750,[]
9083,3 Months,3,147750,[]
9100,12 Months,12,124379,['1 Month off 12 Months']
9100,11 Months,11,141375,[]
9100,10 Months,10,141375,[]
9100,9 Months,9,141375,[]
9100,8 Months,8,141375,[]
9100,7 Months,7,141375,[]
9100,6 Months,6,130754,['2 Weeks off 6 Months']
9100,5 Months,5,147750,[]
9100,4 Months,4,147750,[]
9100,3 Months,3,147750,[]
9112,12 Months,12,124379,['1 Month off 12 Months']
9112,11 Months,11,141375,[]
9112,10 Months,10,141375,[]
9112,9 Months,9,141375,[]
9112,8 Months,8,141375,[]
9112,7 Months,7,141375,[]
9112,6 Months,6,130754,['2 Weeks off 6 Months']
9112,5 Months,5,147750,[]
9112,4 Months,4,147750,[]
9112,3 Months,3,147750,[]
9059,12 Months,12,124379,['1 Month off 12 Months']
9059,11 Months,11,141375,[]
9059,10 Months,10,141375,[]
9059,9 Months,9,141375,[]
9059,8 Months,8,141375,[]
9059,7 Months,7,141375,[]
9059,6 Months,6,130754,['2 Weeks off 6 Months']
9059,5 Months,5,147750,[]
9059,4 Months,4,147750,[]
9059,3 Months,3,147750,[]
9104,12 Months,12,124379,['1 Month off 12 Months']
9104,11 Months,11,141375,[]
9104,10 Months,10,141375,[]
9104,9 Months,9,141375,[]
9104,8 Months,8,141375,[]
9104,7 Months,7,141375,[]
9104,6 Months,6,130754,['2 Weeks off 6 Months']
9104,5 Months,5,147750,[]
9104,4 Months,4,147750,[]
9104,3 Months,3,147750,[]
9045,12 Months,12,124379,['1 Month off 12 Months']
9045,11 Months,11,141375,[]
9045,10 Months,10,141375,[]
9045,9 Months,9,141375,[]
9045,8 Months,8,141375,[]
9045,7 Months,7,141375,[]
9045,6 Months,6,130754,['2 Weeks off 6 Months']
9045,5 Months,5,147750,[]
9045,4 Months,4,147750,[]
9045,3 Months,3,147750,[]
9071,12 Months,12,112920,['1 Month off 12 Months']
9071,11 Months,11,128250,[]
