id,propertyId,fullAddress,roomNumber,occupancyType,bedrooms,listingSqft,unitSqft,availableDate,minimumStay,minimumPrice,maximumPrice
9079,ENTUS-100008670,"1108 Nueces St, 305-2, Austin, TX, 78701 USA",305-2,SHARED,3,,,2024-04-22,3,124379,147750
9110,ENTUS-100008670,"1108 Nueces St, 503-1, Austin, TX, 78701 USA",503-1,SHARED,3,,,2024-04-22,3,124379,147750
9083,ENTUS-100008670,"1108 Nueces St, 306-3, Austin, TX, 78701 USA",306-3,SHARED,3,,,2024-04-22,3,124379,147750
9100,ENTUS-100008670,"1108 Nueces St, 407-2, Austin, TX, 78701 USA",407-2,SHARED,3,,,2024-04-22,3,124379,147750
9112,ENTUS-100008670,"1108 Nueces St, 506-3, Austin, TX, 78701 USA",506-3,SHARED,3,,,2024-04-22,3,124379,147750
9059,ENTUS-100008670,"1108 Nueces St, 206-3, Austin, TX, 78701 USA",206-3,SHARED,3,,,2024-04-22,3,124379,147750
9104,ENTUS-100008670,"1108 Nueces St, 408-3, Austin, TX, 78701 USA",408-3,SHARED,3,,,2024-04-22,3,124379,147750
9045,ENTUS-100008670,"1108 Nueces St, 401-2, Austin, TX, 78701 USA",401-2,SHARED,3,,,2024-04-22,3,124379,147750
9071,ENTUS-100008670,"1108 Nueces St, 302-3, Austin, TX, 78701 USA",302-3,SHARED,3,,,2024-04-22,3,112920,134000
9066,ENTUS-100008670,"1108 Nueces St, 301-1, Austin, TX, 78701 USA",301-1,SHARED,3,,,2024-04-22,3,124379,147750
9039,ENTUS-100008670,"1108 Nueces St, 201-2, Austin, TX, 78701 USA",201-2,SHARED,3,,,2024-04-22,3,124379,147750
9055,ENTUS-100008670,"1108 Nueces St, 204-2, Austin, TX, 78701 USA",204-2,SHARED,3,,,2024-04-22,3,124379,147750
9108,ENTUS-100008670,"1108 Nueces St, 503-2, Austin, TX, 78701 USA",503-2,SHARED,3,,,2024-04-22,3,124379,147750
9060,ENTUS-100008670,"1108 Nueces St, 207-1, Austin, TX, 78701 USA",207-1,SHARED,3,,,2024-04-22,3,124379,147750
9088,ENTUS-100008670,"1108 Nueces St, 403-2, Austin, TX, 78701 USA",403-2,SHARED,3,,,2024-04-22,3,124379,147750
9048,ENTUS-100008670,"1108 Nueces St, 202-1, Austin, TX, 78701 USA",202-1,SHARED,3,,,2024-04-22,3,107420,127400
9096,ENTUS-100008670,"1108 Nueces St, 406-1, Austin, TX, 78701 USA",406-1,SHARED,3,,,2024-04-22,3,124379,147750
9080,ENTUS-100008670,"1108 Nueces St, 305-3, Austin, TX, 78701 USA",305-3,SHARED,3,,,2024-04-22,3,124379,147750
9063,ENTUS-100008670,"1108 Nueces St, 208-1, Austin, TX, 78701 USA",208-1,SHARED,3,,,2024-04-22,3,124379,147750
9070,ENTUS-100008670,"1108 Nueces St, 302-2, Austin, TX, 78701 USA",302-2,SHARED,3,,,2024-04-22,3,112920,134000
9046,ENTUS-100008670,"1108 Nueces St, 401-3, Austin, TX, 78701 USA",401-3,SHARED,3,,,2024-04-22,3,124379,147750
